handicap,odds,participant_name,name,description,game_date
6.0,92.5925925925926,Phi 76Ers,PHI 76ers - PHI 76ers,Spread,2023-10-26
-4.0,90.9090909090909,Mil Bucks,MIL Bucks - MIL Bucks,Spread 1st Half,2023-10-26
4.0,90.9090909090909,Phi 76Ers,PHI 76ers - PHI 76ers,Spread 1st Half,2023-10-26
0.0,145.0,Phi 76Ers,PHI 76ers - PHI 76ers,Moneyline 1st Quarter,2023-10-26
-2.5,90.9090909090909,Mil Bucks,MIL Bucks - MIL Bucks,Spread 1st Quarter,2023-10-26
2.5,90.9090909090909,Phi 76Ers,PHI 76ers - PHI 76ers,Spread 1st Quarter,2023-10-26
-6.5,95.23809523809523,La Lakers,LA Lakers - LA Lakers,Spread,2023-10-26
6.5,86.95652173913044,Pho Suns,PHO Suns - PHO Suns,Spread,2023-10-26
-4.0,92.5925925925926,La Lakers,LA Lakers - LA Lakers,Spread 1st Half,2023-10-26
4.0,89.28571428571429,Pho Suns,PHO Suns - PHO Suns,Spread 1st Half,2023-10-26
0.0,58.82352941176471,La Lakers,LA Lakers - LA Lakers,Moneyline 1st Quarter,2023-10-26
0.0,142.0,Pho Suns,PHO Suns - PHO Suns,Moneyline 1st Quarter,2023-10-26
-2.0,89.28571428571429,La Lakers,LA Lakers - LA Lakers,Spread 1st Quarter,2023-10-26
2.0,92.5925925925926,Pho Suns,PHO Suns - PHO Suns,Spread 1st Quarter,2023-10-26
0.0,150.0,Det Pistons,DET Pistons - DET Pistons,Moneyline,2023-10-27
-4.5,92.5925925925926,Cha Hornets,CHA Hornets - CHA Hornets,Spread,2023-10-27
4.5,89.28571428571429,Det Pistons,DET Pistons - DET Pistons,Spread,2023-10-27
0.0,61.72839506172839,Cha Hornets,CHA Hornets - CHA Hornets,Moneyline 1st Half,2023-10-27
0.0,136.0,Det Pistons,DET Pistons - DET Pistons,Moneyline 1st Half,2023-10-27
-2.0,86.95652173913044,Cha Hornets,CHA Hornets - CHA Hornets,Spread 1st Half,2023-10-27
2.0,95.23809523809523,Det Pistons,DET Pistons - DET Pistons,Spread 1st Half,2023-10-27
0.0,67.56756756756756,Cha Hornets,CHA Hornets - CHA Hornets,Moneyline 1st Quarter,2023-10-27
0.0,124.0,Det Pistons,DET Pistons - DET Pistons,Moneyline 1st Quarter,2023-10-27
-1.5,92.5925925925926,Cha Hornets,CHA Hornets - CHA Hornets,Spread 1st Quarter,2023-10-27
1.5,89.28571428571429,Det Pistons,DET Pistons - DET Pistons,Spread 1st Quarter,2023-10-27
-6.0,90.9090909090909,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread,2023-10-27
6.0,90.9090909090909,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread,2023-10-27
0.0,150.0,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Moneyline 1st Half,2023-10-27
-3.0,86.95652173913044,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread 1st Half,2023-10-27
3.0,95.23809523809523,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread 1st Half,2023-10-27
0.0,145.0,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Moneyline 1st Quarter,2023-10-27
-2.5,95.23809523809523,Den Nuggets,DEN Nuggets - DEN Nuggets,Spread 1st Quarter,2023-10-27
2.5,86.95652173913044,Mem Grizzlies,MEM Grizzlies - MEM Grizzlies,Spread 1st Quarter,2023-10-27
0.0,95.23809523809523,Atl Hawks,ATL Hawks - ATL Hawks,Moneyline,2023-10-27
0.0,86.95652173913044,Ny Knicks,NY Knicks - NY Knicks,Moneyline,2023-10-27
1.0,92.5925925925926,Atl Hawks,ATL Hawks - ATL Hawks,Spread,2023-10-27
-1.0,89.28571428571429,Ny Knicks,NY Knicks - NY Knicks,Spread,2023-10-27
0.0,92.5925925925926,Atl Hawks,ATL Hawks - ATL Hawks,Moneyline 1st Half,2023-10-27
0.0,89.28571428571429,Ny Knicks,NY Knicks - NY Knicks,Moneyline 1st Half,2023-10-27
0.5,84.7457627118644,Atl Hawks,ATL Hawks - ATL Hawks,Spread 1st Half,2023-10-27
-0.5,98.0392156862745,Ny Knicks,NY Knicks - NY Knicks,Spread 1st Half,2023-10-27
0.0,89.28571428571429,Atl Hawks,ATL Hawks - ATL Hawks,Moneyline 1st Quarter,2023-10-27
0.0,92.5925925925926,Ny Knicks,NY Knicks - NY Knicks,Moneyline 1st Quarter,2023-10-27
-0.5,98.0392156862745,Atl Hawks,ATL Hawks - ATL Hawks,Spread 1st Quarter,2023-10-27
0.5,84.7457627118644,Ny Knicks,NY Knicks - NY Knicks,Spread 1st Quarter,2023-10-27
-8.5,89.28571428571429,Bos Celtics,BOS Celtics - BOS Celtics,Spread,2023-10-27
8.5,92.5925925925926,Mia Heat,MIA Heat - MIA Heat,Spread,2023-10-27
-5.0,86.95652173913044,Bos Celtics,BOS Celtics - BOS Celtics,Spread 1st Half,2023-10-27
5.0,95.23809523809523,Mia Heat,MIA Heat - MIA Heat,Spread 1st Half,2023-10-27
-3.0,89.28571428571429,Bos Celtics,BOS Celtics - BOS Celtics,Spread 1st Quarter,2023-10-27
3.0,92.5925925925926,Mia Heat,MIA Heat - MIA Heat,Spread 1st Quarter,2023-10-27
0.0,74.07407407407408,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Moneyline,2023-10-27
0.0,114.0,Okc Thunder,OKC Thunder - OKC Thunder,Moneyline,2023-10-27
-2.0,86.95652173913044,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread,2023-10-27
2.0,95.23809523809523,Okc Thunder,OKC Thunder - OKC Thunder,Spread,2023-10-27
0.0,76.92307692307693,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Moneyline 1st Half,2023-10-27
0.0,110.0,Okc Thunder,OKC Thunder - OKC Thunder,Moneyline 1st Half,2023-10-27
-1.0,90.9090909090909,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread 1st Half,2023-10-27
1.0,90.9090909090909,Okc Thunder,OKC Thunder - OKC Thunder,Spread 1st Half,2023-10-27
0.0,80.0,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Moneyline 1st Quarter,2023-10-27
0.0,105.0,Okc Thunder,OKC Thunder - OKC Thunder,Moneyline 1st Quarter,2023-10-27
-0.5,86.95652173913044,Cle Cavaliers,CLE Cavaliers - CLE Cavaliers,Spread 1st Quarter,2023-10-27
0.5,95.23809523809523,Okc Thunder,OKC Thunder - OKC Thunder,Spread 1st Quarter,2023-10-27
0.0,74.07407407407408,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline,2023-10-27
0.0,114.0,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline,2023-10-27
-2.5,90.9090909090909,Chi Bulls,CHI Bulls - CHI Bulls,Spread,2023-10-27
2.5,90.9090909090909,Tor Raptors,TOR Raptors - TOR Raptors,Spread,2023-10-27
0.0,74.07407407407408,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline 1st Half,2023-10-27
0.0,114.0,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline 1st Half,2023-10-27
-1.0,89.28571428571429,Chi Bulls,CHI Bulls - CHI Bulls,Spread 1st Half,2023-10-27
1.0,92.5925925925926,Tor Raptors,TOR Raptors - TOR Raptors,Spread 1st Half,2023-10-27
0.0,83.33333333333334,Chi Bulls,CHI Bulls - CHI Bulls,Moneyline 1st Quarter,2023-10-27
0.0,100.0,Tor Raptors,TOR Raptors - TOR Raptors,Moneyline 1st Quarter,2023-10-27
-0.5,90.9090909090909,Chi Bulls,CHI Bulls - CHI Bulls,Spread 1st Quarter,2023-10-27
0.5,90.9090909090909,Tor Raptors,TOR Raptors - TOR Raptors,Spread 1st Quarter,2023-10-27
0.0,130.0,Hou Rockets,HOU Rockets - HOU Rockets,Moneyline,2023-10-27
0.0,64.51612903225806,Sa Spurs,SA Spurs - SA Spurs,Moneyline,2023-10-27
3.5,90.9090909090909,Hou Rockets,HOU Rockets - HOU Rockets,Spread,2023-10-27
-3.5,90.9090909090909,Sa Spurs,SA Spurs - SA Spurs,Spread,2023-10-27
0.0,124.0,Hou Rockets,HOU Rockets - HOU Rockets,Moneyline 1st Half,2023-10-27
0.0,67.56756756756756,Sa Spurs,SA Spurs - SA Spurs,Moneyline 1st Half,2023-10-27
1.5,95.23809523809523,Hou Rockets,HOU Rockets - HOU Rockets,Spread 1st Half,2023-10-27
-1.5,86.95652173913044,Sa Spurs,SA Spurs - SA Spurs,Spread 1st Half,2023-10-27
0.0,114.0,Hou Rockets,HOU Rockets - HOU Rockets,Moneyline 1st Quarter,2023-10-27
0.0,74.07407407407408,Sa Spurs,SA Spurs - SA Spurs,Moneyline 1st Quarter,2023-10-27
1.0,92.5925925925926,Hou Rockets,HOU Rockets - HOU Rockets,Spread 1st Quarter,2023-10-27
-1.0,89.28571428571429,Sa Spurs,SA Spurs - SA Spurs,Spread 1st Quarter,2023-10-27
6.0,92.5925925925926,Bkn Nets,BKN Nets - BKN Nets,Spread,2023-10-27
-6.0,89.28571428571429,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread,2023-10-27
3.5,89.28571428571429,Bkn Nets,BKN Nets - BKN Nets,Spread 1st Half,2023-10-27
-3.5,92.5925925925926,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread 1st Half,2023-10-27
0.0,142.0,Bkn Nets,BKN Nets - BKN Nets,Moneyline 1st Quarter,2023-10-27
0.0,58.82352941176471,Dal Mavericks,DAL Mavericks - DAL Mavericks,Moneyline 1st Quarter,2023-10-27
2.0,92.5925925925926,Bkn Nets,BKN Nets - BKN Nets,Spread 1st Quarter,2023-10-27
-2.0,89.28571428571429,Dal Mavericks,DAL Mavericks - DAL Mavericks,Spread 1st Quarter,2023-10-27
0.0,145.0,Uta Jazz,UTA Jazz - UTA Jazz,Moneyline,2023-10-27
-4.0,89.28571428571429,La Clippers,LA Clippers - LA Clippers,Spread,2023-10-27
4.0,92.5925925925926,Uta Jazz,UTA Jazz - UTA Jazz,Spread,2023-10-27
0.0,64.51612903225806,La Clippers,LA Clippers - LA Clippers,Moneyline 1st Half,2023-10-27
0.0,130.0,Uta Jazz,UTA Jazz - UTA Jazz,Moneyline 1st Half,2023-10-27
-2.0,89.28571428571429,La Clippers,LA Clippers - LA Clippers,Spread 1st Half,2023-10-27
2.0,92.5925925925926,Uta Jazz,UTA Jazz - UTA Jazz,Spread 1st Half,2023-10-27
0.0,74.07407407407408,La Clippers,LA Clippers - LA Clippers,Moneyline 1st Quarter,2023-10-27
